order2,home,away,rivalry,favored,underdog,line,etp,fminusu,favscore,undscore,tp,fro1,fpo1,fto1,fso1,frd1,fped1,ftd1,fsd1,fws,fls,fsched,uro1,upo1,uto1,uso1,urd1,uped1,utd1,usd1,uws,uls,usced,frank,urank,fnr,unr,finj,uinj,top25game,confgame,nightgame,conference,week,year,stadium,power5,ACC,BigEast,BigTen,BigTwelve,CUSA,IND,MAC,MntWest,NonConf,PacTen,SEC,SunBelt,WAC,NoRivalry,MinorRivalry,MajorRivalry,AnyRivalry,Home_Rating,Away_Rating,,,fsched,finj,power5,Any
2561,Tulane,UTEP,None,UTEP,Tulane,4.5,72,-15,19,34,53,168.44,268,436.44,37.11,183.44,133.02,502.67,35.44,0,3,0.44,203.22,182.89,386.11,22.44,138.33,149.76,423.78,32.22,0,2,0.4084507,0,0,1,1,2,5,0,1,1,CUSA,11,2007,64992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,52.97,55.94,,,0.57142857,1,0,1
2523,Houston,SMU,None,Houston,SMU,19,68.5,10,38,28,66,233.25,285,518.25,37.13,150.88,121.3,354.75,30.13,3,0,0.43859649,149.5,244.75,394.25,24.75,183,138.14,483,36.5,0,6,0.38596491,0,0,1,1,2,1,0,1,1,CUSA,10,2007,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,65.76,47.44,,,0.41111111,1,0,0
377,Southern Miss,East Carolina,Minor,Southern Miss,East Carolina,19.5,48,41,51,10,61,162.3033333,135.23,301.4788889,25.14333333,178.615,99.88428571,368.4714286,23.71375,0,1,0.4,107.945,221.9466667,298.292,18.39,228.8816667,169.065,468.7,49.638,1,0,0.4,36,0,0,1,3,3,0,1,1,CUSA,8,2004,33000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,69.59,56.71,,,0.39655172,1,0,0
539,Arkansas State,North Texas,None,North Texas,Arkansas State,6.5,55.5,24,31,7,38,200.5,139.012,345.8371429,28.5525,177.34,134.4514286,445.9455556,31.64,6,0,0.4268,144.095,225.57625,369.302,19.35625,187.0833333,155.5333333,433.335,33.54777778,1,0,0.3976,0,0,1,1,3,0,0,1,1,Sun Belt,12,2004,33410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.17,63.63,,,0.81818182,1,0,0
415,Marshall,UCF,None,Marshall,UCF,26,48,17,20,3,23,96.77833333,186.39,261.8628571,25.14333333,120.3671429,109.43,309.992,19.29,4,0,0.3902,84.372,206.4633333,283.51625,15.4,213.3366667,152.4933333,438.096,39.4375,0,11,0.5,0,0,1,1,3,6,0,1,0,MAC,9,2004,40000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,62.67,44.01,,,0.3,1,0,0
1230,Arizona St.,Arizona,Major,Arizona St.,Arizona,9.5,60,3,23,20,43,141.3,376.8,518.1,37.4,183.5,138.51,471.6,29.9,0,1,0.57608696,117.8,230.9,348.7,23.2,189.8,127.74,412.8,26.7,0,1,0.5952381,0,0,1,1,3,7,0,1,0,Pac Ten,13,2005,73379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80.14,84.73,,,0.53846154,1,0,0
1031,San Diego State,New Mexico,None,San Diego State,New Mexico,3,53,-23,24,47,71,144,219.43,363.43,25.29,163.71,105.74,371.14,25,1,0,0.44444444,201.14,200.57,401.71,28.43,139.43,121.44,385.29,28.43,1,0,0.51351351,0,0,1,1,3,1,0,1,1,Mountain West,8,2005,71400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,70.78,68.22,,,0.44,1,0,0
1248,Oklahoma,Oklahoma State,Major,Oklahoma,Oklahoma State,19.5,52,28,42,14,56,164.4,169.6,334,26.4,99,115.69,321.4,24.9,0,1,0.68539326,168,175.4,343.4,20.8,190.6,135.03,405.6,30.2,0,1,0.56410256,32,0,0,1,3,3,0,1,0,Big Twelve,13,2005,83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,86.27,66.16,,,0.43859649,1,0,0
1192,Michigan,Ohio State,Major,Ohio State,Michigan,3,45.5,4,25,21,46,196.7,206.6,403.3,33.3,78.7,114.48,277.3,14.2,5,0,0.63218391,177.7,217.9,395.6,29.6,137.9,113.04,340.6,18.7,4,0,0.62790698,9,17,0,0,3,11,1,1,0,Big Ten,12,2005,107501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,84.45,95.37,,,0.4,1,0,1
1164,Idaho,Louisiana Tech,None,Louisiana Tech,Idaho,9,52,3,41,38,79,150.63,211.88,362.5,27.75,129.75,121.55,366.13,23.13,3,0,0.33898305,68,249.38,317.38,19,167.88,139.1,416.63,35.25,1,0,0.25423729,0,0,1,1,3,8,0,1,0,WAC,11,2005,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,51.22,66.93,,,0.4268,1,0,0
1231,Colorado,Nebraska,Minor,Colorado,Nebraska,15.5,47.5,-27,3,30,33,128.2,252.1,380.3,28.9,77,110.93,319.1,18.8,0,1,0.54444444,89.6,213.3,302.9,23.4,130.8,107.09,337.4,22.1,1,0,0.525,29,0,0,1,3,1,0,1,0,Big Twelve,13,2005,51808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,77.67,81.39,,,0.3902,1,0,0
1086,Purdue,Michigan State,None,Michigan State,Purdue,5,64,-7,21,28,49,225.5,307.13,532.63,38.88,134.38,138.14,414.38,27,1,0,0.5,168,263.5,431.5,28,145.25,149.94,476,33.88,0,6,0.61818182,0,0,1,1,3,2,0,1,0,Big Ten,10,2005,67861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.35,78.68,,,0.57608696,1,0,1
1111,Ohio State,Illinois,None,Ohio State,Illinois,34,55,38,40,2,42,181,204.63,385.63,30.63,77.63,120.45,295.25,16.63,3,0,0.69642857,163.13,216.38,379.5,20.13,228.25,159.24,456.13,40,0,6,0.60377358,12,0,0,1,3,8,1,1,0,Big Ten,10,2005,101568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,95.37,62.79,,,0.44444444,1,0,0
983,UAB,Southern Miss,None,UAB,Southern Miss,2,50.5,-9,28,37,65,127,295,422,27.17,129.33,118.35,333.83,21,0,2,0.22727273,97,236.6,333.6,34.2,142.8,126.11,384,24.4,1,0,0.66666667,0,0,1,1,3,4,0,1,1,CUSA,8,2005,80591,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,64.18,70.21,,,0.68539326,1,0,1
1824,Eastern Michigan,Navy,None,Navy,Eastern Michigan,15.5,47.5,28,49,21,70,324.67,50,374.67,25.11,132.33,138.96,355.78,21.67,1,0,0.57971014,113.11,176.11,289.22,15.56,191.56,135.11,374.22,25.78,0,2,0.43421053,0,0,1,1,3,3,0,1,0,INDP,11,2006,30200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.2,75.33,,,0.63218391,1,0,1
1491,TCU,BYU,None,TCU,BYU,6,47,-14,17,31,48,183,174.67,357.67,25,37,103.62,275.33,7.67,13,0,0.66666667,124.5,317.5,442,30.75,96,108.99,317.25,17.5,1,0,0.5,17,0,0,1,3,2,1,1,1,Mountain West,5,2006,44830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,81.98,87.44,,,0.33898305,1,0,0
1564,Cincinnati,Akron,None,Cincinnati,Akron,6.5,43.5,6,20,14,34,106.8,184.2,291,18,102,115.73,322,21.8,1,0,0.75,77.2,253.6,330.8,21,123.4,129.95,322.2,25,0,1,0.41666667,0,0,1,1,3,2,0,0,0,NC,6,2006,35000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,76.23,61.14,,,0.54444444,1,0,1
1749,Southern Miss,East Carolina,None,Southern Miss,East Carolina,6,46,-3,17,20,37,153.14,167.14,320.29,21.57,148.57,119.6,348.14,21.14,0,1,0.59090909,108.57,259.43,368,22.71,178.71,130,351.57,23.57,1,0,0.55555556,0,0,1,1,3,5,0,1,1,CUSA,9,2006,33000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,73.47,68.88,,,0.5,1,0,0
1996,Boston College,Navy,None,Boston College,Navy,8,48,1,25,24,49,116.33,241.08,357.42,26.08,90.08,105.51,303.17,15,0,1,0.56818182,327.42,53.92,381.33,28.58,120.33,132.08,336.83,19.67,4,0,0.43609023,23,33,0,0,3,4,1,0,0,NC,15,2006,73367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,82.4,75.33,,,0.69642857,1,0,0
1974,Florida International,Troy State,None,Troy State,Florida International,11,38,13,26,13,39,116.18,200.64,316.82,20.82,147.73,125.05,353.45,23.55,1,0,0.4625,60.18,171.82,232,9.27,144.91,121.94,301.18,26.09,0,11,0.4691358,0,0,1,1,3,5,0,1,1,Sun Belt,14,2006,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,43.67,66.35,,,0.22727273,1,0,0
1893,Ohio State,Michigan,Major,Ohio State,Michigan,7,40.5,3,42,39,81,179.45,221.82,401.27,35.82,90.18,96.64,261.73,7.82,18,0,0.51401869,194.55,178.36,372.91,29.36,29.91,101.08,231.45,12.09,11,0,0.58878505,1,2,0,0,3,3,1,1,0,Big Ten,12,2006,101568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,93.88,90.74,,,0.57971014,1,0,0
1808,Akron,Buffalo,None,Akron,Buffalo,17.5,50,15,31,16,47,97.56,231.89,329.44,22,135.44,123.23,337.44,24.56,1,0,0.4,89.78,183.78,273.56,19.22,211,137.99,382,34.44,1,0,0.44871795,0,0,1,1,3,6,0,1,1,MAC,11,2006,35202,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,61.14,50.27,,,0.66666667,1,0,0
1565,Colorado,Baylor,None,Colorado,Baylor,5,36.5,-3,31,34,65,134,119.4,253.4,9.8,80.2,144.04,320.6,19.2,0,9,0.6,27.4,281.4,308.8,21.2,96.2,112.39,323,14.8,1,0,0.6,0,0,1,1,3,4,0,1,0,Big Twelve,6,2006,51808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62.93,65.21,,,0.75,1,0,0
1708,Missouri,Oklahoma,None,Missouri,Oklahoma,1.5,46,-16,10,26,36,164.88,254.63,419.5,33.13,109.75,105.97,282.25,14.63,1,0,0.5,170.86,207.71,378.57,31.57,115.14,110.97,266.71,15.86,2,0,0.53191489,23,19,0,0,3,1,1,1,0,Big Twelve,9,2006,62000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76.3,84.83,,,0.59090909,1,0,0
1648,Virginia,North Carolina,Minor,Virginia,North Carolina,6,41.5,23,23,0,23,92,167.43,259.43,18.14,125.71,126.46,299.14,21.43,0,2,0.51351351,119.83,179.5,299.33,17.5,207.83,144.03,392,35.67,0,3,0.75,0,0,1,1,3,5,0,1,1,ACC,8,2006,61500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,68.78,62.46,,,0.56818182,1,0,0
2282,Tennessee,Georgia,None,Tennessee,Georgia,1.5,56.5,21,35,14,49,132.25,285.75,418,34.5,188.25,135.56,439,37.5,1,0,0.78571429,323.2,184.2,507.4,40.4,97.4,118.09,273.4,17.8,0,1,0.55555556,0,12,1,0,3,3,1,1,0,SEC,6,2007,104400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,84.31,89.83,,,0.4625,1,0,0
2594,Notre Dame,Duke,None,Notre Dame,Duke,6,47.5,21,28,7,35,56.6,161.4,218,14.8,207.6,121.31,372.5,32.4,0,4,0.64210526,52.9,213.2,266.1,19.4,176.9,148.93,442.9,35,0,7,0.64130435,0,0,1,1,3,4,0,0,0,NC,12,2007,80225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,64.55,59.7,,,0.51401869,1,0,1
2643,Southern Miss,Arkansas State,None,Southern Miss,Arkansas State,14,56,6,16,10,26,202.45,200,402.45,29.45,130.27,128.18,363.45,24.82,1,0,0.44545455,170,211.64,381.64,25.55,163.91,130.11,367.91,28.64,1,0,0.41509434,0,0,1,1,3,2,0,0,0,NC,13,2007,33000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,64.8,58.71,,,0.4,1,0,0
2344,Stanford,TCU,None,TCU,Stanford,5.5,47,2,38,36,74,131.67,208,339.67,20.5,134.83,97.52,337.5,16.17,0,1,0.48148148,110.4,244.8,355.2,22.4,170.8,151.81,455,32.8,1,0,0.7826087,0,47,1,0,3,8,0,0,0,NC,7,2007,85500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,69.05,74.78,,,0.6,1,0,0
2654,Marshall,UAB,None,Marshall,UAB,15.5,57,7,46,39,85,138.55,267.64,406.18,22.91,198.64,149.27,446.73,33.82,0,1,0.58715596,110.55,199.55,310.09,17.82,264.09,132.02,487.73,34.09,0,5,0.52727273,0,0,1,1,3,0,0,0,0,NC,13,2007,40000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,57.6,50.23,,,0.5,1,0,0
2404,Arizona,Stanford,None,Arizona,Stanford,12,55.5,-1,20,21,41,76.86,296.29,373.14,26.14,120.57,118.92,360.29,27,0,2,0.59459459,120.33,236.33,356.67,24.67,167.33,155.25,461.5,33.67,0,1,0.72727273,0,0,1,1,3,6,0,1,0,Pac Ten,8,2007,57803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76.4,69.05,,,0.51351351,1,1,1
2320,South Florida,UCF,None,South Florida,UCF,12,54.5,52,64,12,76,181,182.6,363.6,29.4,115.4,92.83,312.2,16.4,7,0,0.69565217,239.6,197.8,437.4,37.6,152.8,125.08,366.4,29.8,0,1,0.375,5,0,0,1,3,2,1,0,0,NC,7,2007,65000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,82.45,75.46,,,0.78571429,1,1,0
2247,TCU,Colorado State,None,TCU,Colorado State,10,45.5,12,24,12,36,113.75,210.25,324,19.5,130.5,96.97,347,15.25,1,0,0.75,143,252.33,395.33,27.67,175.67,128.33,373.67,34.33,0,10,0.625,0,0,1,1,3,4,0,1,1,Mountain West,5,2007,44830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74.78,64.02,,,0.64210526,1,0,0
2373,Purdue,Iowa,None,Purdue,Iowa,7,44.5,25,31,6,37,139,295.71,434.71,36.43,143.86,114.19,394.43,24.71,0,2,0.52380952,121.57,192.29,313.86,16.29,117.14,115.69,301.86,15.14,1,0,0.45238095,0,0,1,1,3,9,0,1,0,Big Ten,8,2007,67861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.76,67.7,,,0.44545455,1,0,0
2268,Michigan State,Northwestern,None,Michigan State,Northwestern,16.5,53,-7,41,48,89,208.8,237.2,446,33,119.4,107.82,304.8,19.8,0,1,0.55555556,84.75,295.25,380,18.75,263,156.3,447.5,41.75,0,5,0.73333333,32,0,0,1,3,5,0,1,0,Big Ten,6,2007,72057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75.29,65.3,,,0.48148148,1,0,0
399,Syracuse,Connecticut,None,Syracuse,Connecticut,3,49,12,42,30,72,138.75,161.625,306.58,17.22571429,183.57,140.34,414.6933333,26.4025,0,2,0.6341,145.725,289.12,438.535,31.846,148.6077778,110.36,338.2183333,23.10555556,1,0,0.4194,0,0,1,1,4,6,0,1,0,Big East,9,2004,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71.35,73.67,,,0.58715596,1,0,0
551,Clemson,South Carolina,Major,Clemson,South Carolina,3,42,22,29,7,36,96.55125,201.2033333,280.9933333,18.84,137.348,103.2042857,342.755,21.6496875,0,1,0.5185,175.988,214.5971429,397.664,24.3525,123.7866667,105.898,309.4166667,20.13888889,0,1,0.4938,0,0,1,1,4,7,0,0,0,NC,12,2004,81473,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,74.48,72.98,,,0.59459459,1,0,0
541,Mississippi St.,Arkansas,Minor,Arkansas,Mississippi St.,10,51,3,24,21,45,212.1666667,226.1916667,428.092,33.63625,156.07,145.3633333,391.8,22.43,1,0,0.6267,162.3033333,131.3125,281.3125,13.8,169.945,136.2666667,355.9216667,26.4025,0,1,0.5231,0,0,1,1,4,5,0,1,0,SEC,12,2004,55000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,61.3,74.55,,,0.69565217,1,0,0
419,San Jose St.,UTEP,None,UTEP,San Jose St.,15.5,61,18,38,20,58,151.7066667,240.126,399.994,33.63625,130.89,99.375,364.146,23.454,4,0,0.6471,158.6233333,161.2325,335.1133333,29.4,242.878,119.0216667,424.41,43.175,0,2,0.2759,32,0,0,1,4,0,0,1,0,WAC,9,2004,31218,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,55.64,74.71,,,0.75,1,0,0
887,Kansas State,Kansas,Major,Kansas State,Kansas,6,49.5,9,12,3,15,195.25,216.5,411.75,32.75,118.75,101.54,276,22.5,0,1,0.33333333,141.5,198.75,340.25,29.25,72,126.41,338.75,17.75,0,1,0.28571429,0,0,1,1,4,3,0,1,0,Big Twelve,6,2005,52250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,72.29,78.89,,,0.52380952,1,0,0
1078,New Mexico State,Idaho,None,New Mexico State,Idaho,5.5,53.5,-1,37,38,75,79.71,243.86,323.57,14.29,205.86,151.75,460.57,38.86,0,8,0.58974359,64.43,215.14,279.57,16.29,169.86,141.95,405.43,35,0,2,0.31578947,0,0,1,1,4,8,0,1,1,Sun Belt,9,2005,30343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,44.25,51.22,,,0.55555556,1,0,0
1276,Clemson,Colorado,None,Clemson,Colorado,9,46.5,9,19,10,29,152.36,234,386.36,27,139,111.82,334.09,18.27,3,0,0.486,118.08,232.42,350.5,24.58,95.25,118.52,347.83,24,0,3,0.5776,23,0,0,1,4,6,1,0,1,NC,15,2005,70000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,81.2,77.67,,,0.6341,1,0,0
899,Oklahoma State,Missouri,None,Missouri,Oklahoma State,5.5,51,7,38,31,69,250.25,247.5,497.75,37.75,185.5,135.55,418.25,33.5,0,1,0.5,163.75,124,287.75,14.5,147.75,104.43,294.25,14.25,0,1,0.3,0,0,1,1,4,2,0,1,0,Big Twelve,6,2005,50616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66.16,76.88,,,0.5185,1,0,1
972,Arizona,Stanford,None,Arizona,Stanford,5,50,-4,16,20,36,81,235,316,20,227.4,124.6,430.8,28,0,3,0.58823529,134.25,191.5,325.75,25.5,174.5,134.16,455.25,30.75,1,0,0.7,0,0,1,1,4,5,0,1,1,Pac Ten,7,2005,57803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,69.94,76.41,,,0.6267,1,1,1
847,Alabama,Florida,None,Florida,Alabama,4,48,-28,3,31,34,149.25,268.25,417.5,34.5,79,73.45,223,13,4,0,0.57142857,184.75,216.5,401.25,29.25,87.75,99.83,232.5,13.75,4,0,0.28571429,5,15,0,0,4,5,1,1,0,SEC,5,2005,83818,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,84.31,83.95,,,0.6471,1,0,0
1010,Wake Forest,NC State,None,NC State,Wake Forest,3,47.5,-8,19,27,46,95.4,251.8,347.2,24.2,144.6,101.23,342.6,21.2,0,1,0.63157895,205.14,157.14,362.29,23.43,138.86,124.72,405.71,30.57,0,2,0.64705882,0,0,1,1,4,6,0,1,0,ACC,8,2005,31500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71.04,78.87,,,0.33333333,1,0,1
1868,Boston College,Maryland,None,Boston College,Maryland,8,42,22,38,16,54,124.8,247.5,372.3,26.1,94.2,105.11,306,14.7,1,0,0.58888889,122,171.7,293.7,22,167.7,120.24,360.9,20.1,5,0,0.5505618,20,21,0,0,4,2,1,1,0,ACC,12,2006,44500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,82.4,77.11,,,0.58974359,1,0,0
1942,Oklahoma State,Oklahoma,Major,Oklahoma,Oklahoma State,5.5,54,6,27,21,48,184.18,191.55,375.73,30.36,97.18,99.63,265,15.55,6,0,0.5625,216.18,197.09,413.27,36.64,141.91,140.02,376.55,25,0,1,0.5625,13,0,0,1,4,1,1,1,0,Big Twelve,13,2006,50616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,76.37,84.83,,,0.486,1,0,0
1598,UCF,Pittsburgh,None,Pittsburgh,UCF,10.5,46.5,45,52,7,59,140.67,259,399.67,35.17,115.17,103.2,283.17,14.33,3,0,0.44827586,135,190.8,325.8,17.8,140.8,149.95,406.2,24.6,1,0,0.59090909,32,0,0,1,4,2,0,0,1,NC,7,2006,70188,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,60.12,75.8,,,0.5,1,0,0
1929,Louisiana Tech,Fresno State,None,Fresno State,Louisiana Tech,12,53.5,7,34,27,61,167,154.1,321.1,22.8,133.6,149.31,359.7,28.8,2,0,0.53658537,126.45,209.27,335.73,17.45,223.73,160.57,468.45,41.64,0,2,0.56666667,0,0,1,1,4,2,0,1,1,WAC,13,2006,30600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,49.18,62.03,,,0.58823529,1,0,0
1735,Florida Atlantic,Arkansas State,None,Arkansas State,Florida Atlantic,6.5,37.5,-29,0,29,29,184.29,154.57,338.86,18,127.43,113.79,281.86,20.14,4,0,0.29545455,103.43,179.71,283.14,10.43,178.57,126.31,366.86,32,0,1,0.5,0,0,1,1,4,6,0,1,0,Sun Belt,9,2006,75540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,56.09,59,,,0.57142857,1,1,0
1766,Vanderbilt,Florida,None,Florida,Vanderbilt,17,43,6,25,19,44,157.5,227.25,384.75,26.5,67.25,95.19,261,12.25,1,0,0.71186441,157.56,173.78,331.33,23.22,163.78,124.49,319.56,20.22,1,0,0.52941176,7,0,0,1,4,7,1,1,0,SEC,10,2006,41600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,69.9,96.18,,,0.63157895,1,1,0
1518,Miami-Florida,Houston,None,Miami-Florida,Houston,17,48.5,1,14,13,27,135,211.33,346.33,22.67,59.33,141.83,263.33,18,0,1,0.77777778,173.5,312.25,485.75,38,110.5,148.37,323,21,4,0,0.4,27,39,0,0,4,4,0,0,0,NC,5,2006,74476,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,74.63,73.11,,,0.58888889,1,1,0
1711,Michigan,Northwestern,None,Michigan,Northwestern,29.5,44.5,14,17,3,20,172.25,190.38,362.63,29.75,33.63,106.6,240.88,12.63,8,0,0.69090909,166.25,138.5,304.75,17.13,142,134.8,383,27.5,0,5,0.49056604,2,0,0,1,4,6,1,1,0,Big Ten,9,2006,107501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90.74,62.95,,,0.5625,1,0,1
1606,Georgia,Vanderbilt,None,Georgia,Vanderbilt,14,38,-2,22,24,46,135.33,165.5,300.83,26.83,102.5,110.35,258.33,14.17,0,1,0.51724138,158.17,162.83,321,21.17,148.5,129.6,302.83,16.83,0,1,0.5,16,0,0,1,4,4,1,1,0,SEC,7,2006,92100,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,84.4,69.9,,,0.44827586,1,0,0
2281,Penn State,Iowa,None,Penn State,Iowa,9,39,20,27,7,34,164.2,222.6,386.8,32.8,87,102.36,265,15,0,2,0.3,123,295.4,418.4,29,166.8,154.23,457.2,36.4,0,2,0.55555556,39,0,0,1,4,11,0,1,0,Big Ten,6,2007,107282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.6,67.7,,,0.53658537,1,0,0
2540,Vanderbilt,Kentucky,None,Kentucky,Vanderbilt,3.5,57.5,7,27,20,47,176.22,273.89,450.11,38.89,192.67,115.78,383.11,29,0,2,0.65277778,157.33,161.33,318.67,22.11,128.22,112.43,322.89,20.89,0,1,0.5974026,25,0,0,1,4,2,1,1,0,SEC,11,2007,41600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,74.19,83.02,,,0.29545455,1,0,0
2222,Navy,Air Force,Major,Navy,Air Force,2.5,55.5,11,31,20,51,360,103.25,463.25,32.75,156,175.1,448.5,34.25,1,0,0.36363636,223,130.75,353.75,20,97.75,114.93,333.5,15.75,0,1,0.5,0,0,1,1,4,2,0,0,0,NC,5,2007,30000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,68.4,74.94,,,0.71186441,1,1,0
2304,Rutgers,Cincinnati,None,Rutgers,Cincinnati,4,52.5,-5,23,28,51,191.75,300.25,492,40.5,143.25,97.28,276,15.25,0,1,0.57142857,348.4,98.4,446.8,32.4,172.2,173.46,453.6,31.4,2,0,0.42105263,21,20,0,0,4,0,1,0,1,NC,6,2007,41500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,77.24,82.81,,,0.77777778,1,0,0
2558,North Texas,Navy,None,Navy,North Texas,15,73.5,12,74,62,136,333.33,104.67,438,36.89,185.11,167.29,450.11,38.78,1,0,0.47945205,95,297.88,392.88,20.38,209.38,147.71,498,46.5,0,2,0.421875,0,0,1,1,4,6,0,0,1,NC,11,2007,30500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,47.45,68.4,,,0.69090909,1,0,0
2579,Georgia Tech,North Carolina,None,Georgia Tech,North Carolina,9.5,42,2,27,25,52,211.6,175.6,387.2,26.9,90.5,119.36,293,17.5,1,0,0.52222222,93.7,235.6,329.3,20.9,138.7,124.02,339.9,25.3,0,1,0.61290323,0,0,1,1,4,7,0,1,0,ACC,12,2007,46000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,73.07,69.61,,,0.51724138,1,1,0
645,Texas,Michigan,None,Texas,Michigan,6,54,1,38,37,75,283.1316667,143.1575,486.8566667,37.66285714,83.78,110.186,307.918,16.874,6,0,0.5856,149.0525,236.17,397.664,31.90571429,118.09,113.2357143,316.9575,21.89857143,0,1,0.5321,6,13,0,0,5,7,1,0,0,NC,15,2004,91136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,88.48,82.6,,,0.3,1,0,0
